id,display_name,fx_stablecoin,max_slippage_percentage,status
NMR-EUR,NMR-EUR,False,0.03000000,delisted
WLUNA-USD,WLUNA-USD,False,0.10000000,delisted
XCN-USDT,XCN-USDT,False,0.03000000,delisted
PERP-USD,PERP-USD,False,0.03000000,online
MANA-EUR,MANA-EUR,False,0.03000000,online
MKR-USD,MKR-USD,False,0.03000000,online
SUI-USD,SUI-USD,False,0.03000000,online
PYR-USD,PYR-USD,False,0.03000000,online
LOOM-USD,LOOM-USD,False,0.03000000,delisted
KNC-BTC,KNC-BTC,False,0.03000000,delisted
CRO-USD,CRO-USD,False,0.03000000,online
WBTC-USD,WBTC-USD,False,0.03000000,online
TIME-USDT,TIME-USDT,False,0.05000000,delisted
SKL-BTC,SKL-BTC,False,0.03000000,delisted
IMX-USDT,IMX-USDT,False,0.03000000,online
MUSD-USD,MUSD-USD,True,0.01000000,delisted
MATIC-USD,MATIC-USD,False,0.03000000,online
SYN-USD,SYN-USD,False,0.05000000,online
ZEC-USDC,ZEC-USDC,False,0.03000000,delisted
MASK-USDT,MASK-USDT,False,0.05000000,online
APT-USDT,APT-USDT,False,0.03000000,online
MIR-GBP,MIR-GBP,False,0.03000000,delisted
VGX-USDT,VGX-USDT,False,0.03000000,delisted
SKL-EUR,SKL-EUR,False,0.03000000,delisted
UNFI-USD,UNFI-USD,False,0.03000000,delisted
MSOL-USD,MSOL-USD,False,0.03000000,online
ZEN-BTC,ZEN-BTC,False,0.03000000,delisted
SUSHI-GBP,SUSHI-GBP,False,0.03000000,delisted
ETH-USDT,ETH-USDT,False,0.03000000,online
CGLD-GBP,CGLD-GBP,False,0.03000000,online
REQ-BTC,REQ-BTC,False,0.03000000,delisted
ACS-USD,ACS-USD,False,0.03000000,online
POLS-USDT,POLS-USDT,False,0.03000000,delisted
AURORA-USD,AURORA-USD,False,0.03000000,online
REN-BTC,REN-BTC,False,0.03000000,delisted
HIGH-USD,HIGH-USD,False,0.03000000,online
ALICE-USD,ALICE-USD,False,0.03000000,online
LINK-GBP,LINK-GBP,False,0.03000000,online
LINK-EUR,LINK-EUR,False,0.03000000,online
EOS-EUR,EOS-EUR,False,0.03000000,online
ZETA-USD,ZETA-USD,False,0.03000000,online
NU-BTC,NU-BTC,False,0.03000000,delisted
ARKM-USD,ARKM/USD,False,0.03000000,online
CHZ-USDT,CHZ-USDT,False,0.03000000,online
FORTH-BTC,FORTH-BTC,False,0.03000000,delisted
RAD-BTC,RAD-BTC,False,0.03000000,delisted
REP-BTC,REP-BTC,False,0.03000000,delisted
BADGER-USDT,BADGER-USDT,False,0.03000000,delisted
ATOM-USD,ATOM-USD,False,0.03000000,online
GFI-USD,GFI-USD,False,0.03000000,online
HOPR-USDT,HOPR-USDT,False,0.03000000,delisted
ERN-USDT,ERN-USDT,False,0.03000000,delisted
RARE-USD,RARE-USD,False,0.03000000,online
ALGO-USD,ALGO-USD,False,0.03000000,online
ETH-DAI,ETH-DAI,False,0.03000000,online
ATA-USDT,ATA-USDT,False,0.03000000,delisted
BTRST-GBP,BTRST-GBP,False,0.03000000,delisted
GMT-USD,GMT-USD,False,0.03000000,online
SWFTC-USD,SWFTC-USD,False,0.03000000,online
BTC-USDC,BTC-USDC,False,0.03000000,delisted
BTRST-USD,BTRST-USD,False,0.03000000,online
DREP-USD,DREP-USD,False,0.05000000,delisted
MCO2-USDT,MCO2-USDT,False,0.05000000,delisted
COVAL-USD,COVAL-USD,False,0.03000000,online
CVC-USDC,CVC-USDC,False,0.03000000,delisted
QNT-USD,QNT-USD,False,0.03000000,online
RPL-USD,RPL-USD,False,0.05000000,online
UNI-EUR,UNI-EUR,False,0.03000000,online
FET-USDT,FET-USDT,False,0.03000000,online
DAI-USDC,DAI-USDC,True,0.01000000,delisted
BOBA-USDT,BOBA-USDT,False,0.03000000,delisted
